吖	口丫
𡲼	尸毛亠{丩}人
𡾱	山弓{一}巾乂乂乂乂八
𢆯	幺丨
𢇲	广禾
𢘺	忄米
𢞞	忄辶米
𢱮	扌必皿
𣓔	弓⺈小木
𣧲	歹米
𤛬	牜⺫貝
𥁑	必皿
𥅘	目⺈小
𥇆	目𠃊米
𥇎	目弓⺈小
𥈕	目八丂皿
𥉴	目宀必山
𥉿	目不見
𥎖	矛{一}巾乂乂乂乂八
𥞪	禾米
𥧧	宀八必皿
𥭫	竹卩⺈小
𥵨	竹自宀八方
𥹄	⺊冖釆
𥹫	米米
𥽰	米广木木米
𥿫	糹夕夕
𦖬	耳八丂皿
𦗕	广木木耳
𦞟	⺼必皿
𦟂	⺼辶米
𦣥	臣必
𦸡	艹爫見
𧐎	虫爫見
𧕵	口电虫虫
𧠟	氐見
𧱻	豕爫見
𧵬	貝𠂆{𧘇}
𧶡	宀必貝
𧷦	貝宀必山
𧼊	土龰見
𧽨	土龰爫見
𨇻	𧾷广木木非
𨒲	辶丿未
𨢎	酉冖日六
𨢥	酉⺜⺫又
𨣯	酉冖爿片目
𨣾	弓{一}巾乂乂乂乂八酉
𨷬	門𠆢{一}巾乂乂乂乂八
𩔢	辶米頁
𩞁	广木木𠆢丶艮
𩞇	鹿𠆢丶艮
𩸹	魚弓⺈小
𪀿	米鳥
𪅮	宀必山鳥
𪋗	鹿辶米
𪋢	鹿豕目
𪎔	广木木弓
𪎗	广木木日
𪑸	{里}灬頁
𪒄	{里}灬冖日六
𪓬	臼儿口电
𪕈	臼{鼠下}日
㒙	亻糹白巾
㛯	女⺈𫩏儿力
㝰	宀自宀八方
㤁	天心
㬆	日民日
㮌	木面
㰃	木白巾丿糸
㴐	氵目丏
㻰	𤣩丰丰彐
䀎	目丂
䃇	石白巾
䏃	耳冖日六
䤄	酉面
䫵	自宀八方頁
䰓	E𠫔彡自宀八方
丏	丐丨
偭	亻面
免	⺈𫩏儿
冕	⺜⺈𫩏儿
勉	⺈𫩏儿力
勔	面力
喕	口面
娩	女⺈𫩏儿
婂	女白巾
媔	女面
嬵	女糹白巾
宀	丶冖
愐	忄面
杣	木山
棉	木白巾
檰	木糹白巾
櫋	木自宀八方
汅	氵丂
沔	氵丏
渑	氵口电
湎	氵面
澠	氵口电
眄	目丏
眠	目民
睌	目⺈𫩏儿
矈	目白宀八方
矊	目糹白巾
矏	目自宀八方
糆	米面
綿	糹白巾
緜	白巾丿糸
緬	糹面
绵	纟白巾
缅	纟面
腼	⺼面
芇	艹巾
莬	艹⺈𫩏儿
葂	艹⺈𫩏儿力
蝒	虫面
面	丆囗{丨丨二}
靣	丆囗口
靦	面見
鮸	魚⺈𫩏儿
麪	來{夊}丏
麫	來{夊}丐
麵	來{夊}面
麺	龶夂面
𡒳	土自宀八方
𡧒	宀歹
𡯫	八儿白八
𢃮	巾面
𢣔	忄自宀八方
𣡠	木目目⺜⺫又
𣧾	歹艮
𥄝	目一山
𥊿	目目⺫又
𥌂	目目宀八方
𥤵	宀八丏
𥻩	米冖日六
𥾝	糹丏
𦬛	艹丏
𦽃	艹片户冂卄
𧭇	訁白宀八方
𧸨	貝白宀八方
𨉥	身面
𨟺	酉丏
𨡞	酉丆囗口
𩈹	面冖日六
𩋠	革面
𪁼	白巾鳥
㑤	亻艹田
㠺	巾少
㦝	豸白儿心
䁧	目艹中天
䅺	禾覀示
䖢	虫少
劰	白力
喵	口艹田
妙	女少
媌	女艹田
嫹	女廿一由八
庙	广由
庿	广艹田
廟	广十十日月
描	扌艹田
杪	木少
淼	水水水
渺	氵目少
玅	玄少
眇	目少
瞄	目艹田
秒	禾少
竗	立少
篎	竹目少
緲	糹目少
缈	纟目少
苗	艹田
藐	艹豸白儿
邈	辶豸白儿
鶓	艹田鳥
鹋	艹田鸟
𠋝	亻目少
𡡺	女水水水
𢆷	幺少
𢚋	忄白儿
𢤧	豸頁心
𢷕	扌豸白儿
𤾛	白覀示
𥭝	竹女少
𦳥	艹目少
𩳸	鬼艹田
𪃐	鳥目少
𪃦	目少鳥
㒝	亻艹⺫戊丶
䁾	目艹⺫戊丶
䘊	虫竹⺫戊丶
䩏	面艹⺫戊丶
乜	𠃌乚
吀	口千
咩	口羊
哶	口卝𰀁
孭	子貝
幭	巾艹⺫戊丶
懱	忄艹⺫戊丶
搣	扌戊{一}火
滅	氵戊{一}火
瀎	氵艹⺫戊丶
灭	一火
烕	戊{一}火
眜	目末
礣	石艹⺫戊丶
篾	竹⺫戊丶
蔑	艹⺫戊丶
薎	艹罒冖亻戈
蠛	虫艹⺫戊丶
衊	丿皿艹⺫戊丶
覕	必見
鑖	金艹⺫戊丶
鱴	魚艹⺫戊丶
鴓	必鳥
𠺗	口辶米
𡖺	夕口亠亻{夜右下}
𡞙	女亡目
𡟬	女戊{一}火
𢦼	戈十爪
𢧞	冫戊舟
𢨖	艹口一亻戈戈
𤊾	卝目火
𤏿	臣又目火
𥄲	⺫目
𥉓	目必皿
𥋚	卝⺫戈目
𥌨	目米頁
𥣫	禾艹⺫戊丶
𥵒	竹日冖見
𥸴	米丏
𥽘	米⺿⺫戊丶
𦇪	糹艹罒冖戊丶
𧀅	艹⺫戈禾
𧂝	艹罒冖目戈
𨣱	酉艹⺫戊丶
𩔠	目未頁
𩱷	弓弓鬲米⺿⺫戊丶
𪇴	艹⺫戊丶鳥
𪌺	來{夊}尹口
𪒍	冖木木{里}灬
㞶	山文
㟩	民攵山
㟭	山民日
㢯	弓民
㥸	民田心
㨉	扌民日
䁕	目民日
䂥	石民
䃉	石民日
䋋	糹民
䟨	𧾷民
䡑	車民
䡻	車自宀八方
䪸	民頁
䲄	魚𠂉母攵
僶	亻口电
冺	冫民
刡	民刂
勄	𠂉母力
呡	口民
垊	土民
姄	女民
岷	山民
崏	山氏日
忞	文心
忟	忄文
悯	忄门文
惽	忄民日
愍	民攵心
慜	𠂉母攵心
憫	忄門文
抿	扌民
捪	扌氏日
敃	民攵
敏	𠂉母攵
敯	民日⺊又
旻	日文
旼	日文
暋	民攵日
民	𠃍一亅一乚
泯	氵民
渂	氵日文
潣	氵門文
玟	𤣩文
珉	𤣩民
琘	𤣩氏日
琝	𤣩日文
瑉	𤣩民日
痻	疒氏日
皿	冂丨丨一
盿	目文
砇	石文
碈	石氏日
笢	竹民
笽	竹皿
簢	竹門文
緍	糹氏日
緡	糹民日
缗	纟民日
罠	罒民
苠	艹民
蠠	面虫虫
賯	貝勹日子
鈱	金民
錉	金氏日
鍲	金民日
閔	門文
閩	門虫
闵	门文
闽	门虫
鰵	𠂉母攵魚
鳘	𠂉母攵鱼
鴖	民鳥
𢼖	尸二⺊又
𢽹	氏日攵
𣱈	民巴
𣱉	云民
𣹒	氵勿田
𤇜	火民
𤛎	𠂉母攵牛
𤸅	疒民日
𤺖	疒門文
𤿕	民皮
𥜐	示口电
𦌡	罒口电
𦫮	口貝⺈巴
𦳜	艹民日
𧁋	艹𠂉母攵心
𧌙	雨虫
𧲃	豕門文
𧵣	貝勹日
𨏵	車爫尸止几巳夂
𩭷	E𠫔彡來
𪂆	氏日鳥
𪄴	𠂉母攵鳥
㝠	宀日六
㟰	山冖日六
㫥	日夕口
䄙	礻冖日六
䆨	宀八日天
䆩	宀八目大
䊅	米夕口
䒌	冖日六⺈巴
䫤	冖日六頁
佲	亻夕口
冥	冖日六
凕	冫冖日六
名	夕口
命	𠆢一口卩
姳	女夕口
嫇	女冖日六
慏	忄冖日六
掵	扌𠆢一口卩
明	日月
暝	日冖日六
朙	囗八{囗-一}月
榠	木冖日六
洺	氵夕口
溟	氵冖日六
猽	犭冖日六
眀	目月
眳	目夕口
瞑	目冖日六
茗	艹夕口
蓂	艹冖日六
螟	虫冖日六
覭	冖日六見
詺	訁夕口
鄍	冖日六⻏
酩	酉夕口
銘	金夕口
铭	钅夕口
鳴	口鳥
鸣	口鸟
𠋶	亻冖日六
𡥸	尸毛乃子
𣷠	氵日月
𥌏	𠃜目冖日六
𥥊	宀八皿
𥹆	米尸匕
𥿨	糹夕口
𦡉	日月皿月
𦫭	匕目𠃊八⺈巴
𧟠	襾一
𧱴	豕冖日六
𩣶	日月馬
𪂤	𠆢一口卩鳥
𪗸	止凵人人一人人夕口
謬	訁习习𠆢彡
谬	讠习习𠆢彡
𨱯	E𠫔𠆢小
㱄	{里}灬欠
㱳	艹日大歹
㷬	火艹日大
㷵	火{里}灬
㹮	犭百
䁼	目{里}灬土
䁿	{里}灬犬目
䃺	石广木木非
䉑	竹𠂉卌灬
䏞	⺼末
䒬	艹示
䘃	虫{里}灬土
䜆	广木木亠二口
䩋	面广木木
䬴	飠末
䮬	馬艹日大
䯢	广木木冎⺼
䱅	魚末
䳮	⺼永鳥
䴲	來{夊}末
万	丆𠃌
劘	广木木非刂
嗼	口艹日大
嚤	口广木木手
圽	土勿
塻	土艹日大
墨	{里}灬土
妺	女末
嫫	女艹日大
嫼	女{里}灬
嬤	女广木木幺
嬷	女广木木么
寞	宀艹日大
尛	小小小
帓	巾末
帞	巾百
懡	忄广木木幺
摸	扌艹日大
摹	艹日大手
擵	扌广木木手
无	一尢
昩	日末
末	一木
枺	木末
模	木艹日大
橅	木𠂉卌灬
歾	歹勿
歿	歹丿㇇又
殁	歹殳
沫	氵末
漠	氵艹日大
無	𠂉卌灬
爅	火{里}灬土
獏	犭艹日大
瘼	疒艹日大
皌	白末
眽	目𠂆{𧘇}
眿	目永
瞐	目目目
瞙	目艹日大
砞	石末
磨	广木木石
礳	石广木木石
秣	禾末
糢	米艹日大
絈	糹白
縸	糹艹日大
纆	糹{里}灬土
耱	耒广木木石
膜	⺼艹日大
茉	艹末
莈	艹氵殳
莫	艹日大
蓦	艹日大马
藦	艹广木木手
蘑	艹广木木石
蛨	虫百
蟔	虫{里}灬
謨	訁艹日大
謩	艹日大亠二口
谟	讠艹日大
貃	豸白
貊	豸百
貘	豸艹日大
銆	金百
鏌	金艹日大
镆	钅艹日大
陌	⻖百
靺	革末
饃	飠艹日大
饝	飠广木木石
馍	饣艹日大
驀	艹日大馬
髍	冎⺼广木木
魔	广木木鬼
魩	魚勿
魹	魚毛
默	{里}灬犬
黙	里犬灬
𠄮	𠄠幺幺
𠆮	亻一力
𠇱	亻末
𠡞	白儿力
𠢓	艹日大力
𠬛	刀又
𠻚	艹日大口
𡈗	囗艹日大
𡊉	土末
𡠜	艹日大女
𡡉	广木木女
𡢜	广礻⺈小女
𡻟	山艹日大
𡾉	山广木木手
𢄏	宀𠀎八巾
𢊗	广艹日大
𢐖	弓⻀日廾
𢗿	忄末
𢣗	忄广木木幺
𣋟	日广木木么
𣧣	歹末
𣶊	氵⻖百
𣻕	氵广木木
𤋂	艹⺫火
𤣻	𤣩{⺈}又
𤹴	疒{木}{木}女
𤿖	末皮
𥂓	广木木皿
𥄕	卝目
𥕓	石艹日大
𥙎	示𠂆{𧘇}
𥬎	竹末
𥱹	竹艹日大
𥿉	糹末
𦅔	{里}灬糸
𦔭	耒广木木非
𦟟	⺼广木木
𦥦	臼末
𦫕	未⺈巴
𦮅	屮屮一山巾
𧕤	豸艹日大虫
𧕥	虫豸艹日大
𧠓	冂人見
𧥟	訁𠃌
𧰱	豕刀又
𧻙	土龰百
𧼟	土龰⻖百
𧿴	𧾷末
𨆽	𧾷广木木么
𨟖	广木木石⻏
𨰞	金广木木非
𨱱	E𠫔母
𩃁	雨氵丿㇇又
𩄻	雨艹日大
𩌧	革艹日大
𩐻	立日艹日大
𩑦	丿㇇又頁
𩑷	末頁
𩟠	飠广木木幺
𩢖	馬末
𩢷	馬百
𩥔	月亠水馬
𩪮	冎⺼广木木幺
𩿣	末鳥
𪍤	來{夊}艹日大
𪎠	广木木夕夕
𪏟	卄一由八艹日大
𪒂	{里}灬大丷目
𪒇	{里}灬大二旦
㭌	木牛
䍒	罒木
䏬	⺼厶牛
䗋	虫甘木
䥐	矛夂力金
䱕	魚𠂉母
侔	亻厶牛
劺	厶牛力
厶	𠃋丶
呣	口母
哞	口厶牛
恈	忄厶牛
敄	矛攵
某	甘木
桙	木厶牛
牟	厶牛
眸	目厶牛
蛑	虫厶牛
謀	訁甘木
谋	讠甘木
踎	𧾷不口
鍪	矛攵金
鞪	矛攵革
鴾	厶牛鳥
麰	來{夊}厶牛
𠀱	不父
𠥨	匚虫虫虫
𢃱	巾甘木
𢜯	甘木心
𣫬	{𠃊𠃌一(母-丶丶)}丨
𥆆	目𠫔𫶧
𥿵	糹厶午
𦊋	⺱木
𦊎	罒示
𦋡	罒甘木
𦭷	艹厶牛
𦳑	艹甘木
𦺒	艹矛攵女
𧎄	虫矛攵
𧎻	矛夂力虫
𨴍	門厶牛
𩢫	生馬
𩶢	魚厶牛
㒇	亻𠂉卌灬
㜈	矛夂力女
㡔	矛攵巾
㣎	白小彡
㾇	疒目
䀲	目𠂉母
䊾	糹木
䑵	舟⺜⺝
䥈	金艹犬廾
䧔	⻖𠆢丶㇇心
䱯	矛攵魚
亩	亠田
仫	亻么
凩	⺇木
募	艹日大力
坶	土母
墓	艹日大土
姆	女母
娒	女𠂉母
峔	山老
幕	艹日大巾
幙	巾艹日大
慔	忄艹日大
慕	艹日大⺗
拇	扌母
暮	艹日大日
暯	日艹日大
木	十人
楘	矛攵木
樢	木鳥
母	{𠃊𠃌一(母-丶丶)}丶丶
毣	习习毛
毪	毛厶牛
氁	毛艹日大
沐	氵木
炑	火木
牡	牜土
牧	牜攵
牳	牜母
狇	犭木
畂	田久
畆	亠田厶
畒	亠田人
畝	亠田久
畞	十田久
畮	田𠂉母
目	囗二
睦	目土儿土
砪	石母
穆	禾白小彡
胟	⺼母
艒	舟⺜目
苜	艹目
莯	艹氵木
蚞	虫木
踇	𧾷𠂉母
鉧	金母
鉬	金目
钼	钅目
雮	雨毛
霂	雨氵木
𠺖	口亠田久
𡵬	山木
𢘃	忄母
𢟨	忄艹犬廾
𣈊	牜攵日
𤚅	厶牛厶牛
𤝂	犭{木}
𤝕	犭母
𤵝	疒母
𥄈	六目
𥣸	禾禾大一口䒑
𥰻	竹日大口
𦃤	矛夂力糸
𦱒	艹牜攵
𧚀	衤𠂉母
𧩒	訁彡母
𧬏	訁艹犬廾
𧰷	豕母
𧿹	𧾷母
𨈶	身母
𨍎	矛攵車
𨎸	車矛攵木
𨡭	矛攵酉
𨢢	酉艹日大
𩡨	丿馬
𩬍	E𠫔彡毋
𩵦	魚木
𩶖	魚目
𩶩	魚肉
𪎫	广木木非𠆢
㨥	扌糹内
㴸	氵門人
䀑	目叉
䅞	禾日一寸
䇣	竹𠆢小
䇱	竹囗夕
䈫	竹糹内
䎎	习习耳乚
䏧	⺼夕夕
䖓	出虍几
䖧	虫旦
䛔	訁而
䟜	𧾷内
䫱	而而頁
䱹	魚⺶工
乸	也母
内	冂人
南	十冂丷干
吶	口內
呐	口内
哪	口𭃂⻏
嗱	口𠆢一口手
妠	女内
娜	女𭃂⻏
抐	扌内
拏	女又手
拿	𠆢一口手
挐	女口手
捺	扌大示
搻	𠆢一口手手
笝	竹囗又
納	糹内
纳	纟内
肭	⺼内
蒘	艹女口手
蒳	艹糹内
衲	衤内
訤	訁乂乂
誽	訁臼儿
豽	豸内
貀	豸出
軜	車内
那	𭃂⻏
郍	舟⻏
鈉	金内
鎿	金𠆢一口手
钠	钅内
镎	钅𠆢一口手
雫	雨下
靹	革内
魶	魚内
𠕄	丨𠃍一丨㇅
𠱲	口彐彐
𠴾	口丑丑
𡤙	女耳耳耳
𡰀	尢女又手
𡷝	山耳𠃊
𢇵	广囗又
𢓇	彳內
𢜲	忄女又手
𢡏	忄衣夕夕
𣅚	日內
𣡰	𠆢果果果
𣸏	氵女又手
𣹵	氵山耳乚
𤓷	爪{弓丶}
𤔀	爪女又
𤝒	犭出
𤡤	犭而而
𤬷	出瓦
𤭠	臣又瓦
𤱅	田内
𤱆	田冂又
𤷈	疒大示
𤸏	疒木示
𤸻	疒女又手
𥍲	矛木內
𥹉	米囗又
𥿃	力口糸
𦙜	⺼厂㔾
𦛐	⺼𠂆巴
𦣀	⺼耳耳耳
𦬻	艹女又
𦰡	艹𭃂⻏
𦳐	艹木示
𧋡	虫囗丑
𧘽	女又衣
𧤣	⺈用艹日十
𧦮	訁{弓丶}
𧰹	豕出
𩏼	韦内
𩚛	飠內
𩮅	E𠫔彡大夕夕
𩮸	E𠫔彡束攵
𩹾	魚糹内
𪌅	來{夊}內
𪐀	禾人氺夕夕
𪗝	止凵人人一人人內
㮈	木大示
㮏	木木示
㲡	木示毛
㾍	疒而
䍲	{羊}臼儿
䘅	厶⺝匕匕虫虫
䯮	E𠫔彡乃
乃	丿𠄎
倷	亻大示
奈	大示
奶	女乃
妳	女⺈小
嬭	女{一}巾乂乂乂乂八
孻	子肀一灬皿
廼	廴西
搱	扌尸辛
摨	扌尸八小牛
柰	木示
氖	气乃
渿	氵木示
疓	疒乃
耐	而寸
能	厶⺝匕匕
腉	⺼臼儿
艿	艹乃
萘	艹大示
螚	厶⺝匕匕虫
褦	衤厶⺝匕匕
迺	辶西
釢	金乃
錼	金大示
鼐	乃爿片目
𠧟	𠃊⺊口㐅
𠧤	㇉⺊口㐅
𡞫	女木示
𡨵	宀大旦
𡮙	厶⺝匕匕小
𢉓	广𦈢⺃
𣉘	厶⺝匕匕日
𣮦	大示毛
𥄗	目㕚
𥉃	厶⺝匕匕目
𦓎	而刂
𦔹	耳叉
𦠸	⺼衣夕夕
𦶅	艹辶西
𨎡	車亠尸亻戈
𨒨	辶亠{丩}人
𩹟	魚木示
𪌞	來{夊}玉
㓓	冫十冂丷干
㫱	日赤
㽖	田力
䁪	目車斤
䈒	竹十冂丷干
䔜	艹耳冉
䔳	艹𱼀犬灬
䕼	艹艹中天亻{隹右}
䛁	訁冄
䶲	冉龜
侽	亻田力
喃	口十冂丷干
囡	囗女
娚	女田力
婻	女十冂丷干
戁	艹中天亻{隹右}心
抩	扌冉
揇	扌十冂丷干
暔	日十冂丷干
枏	木冄
柟	木冉
楠	木十冂丷干
湳	氵十冂丷干
煵	火十冂丷干
男	田力
畘	田冉
腩	⺼十冂丷干
莮	艹田力
萳	艹十冂丷干
蝻	虫十冂丷干
諵	訁十冂丷干
赧	赤卩又
遖	⻌十冂丷干
难	又亻{隹右}
難	艹中天亻{隹右}
𡆤	囗二
𡆱	囗彡
𡆲	囗亡
𢪈	扌冄
𢬷	扌内口
𤌔	肉犬灬
𤱣	冉甲
𤽲	白田力
𤿏	內皮
𦍀	罒艹中天亻{隹右}
𦛚	⺼內口
𦝧	⺼卄二匸八
𦶈	艹耳冄
𧇙	虍几田力
𧕴	艹中天亻{隹右}虫
𧹞	赤皮
𨠹	酉大朩
𨦳	金内口
𨴌	門厶⺕
𨴘	門厶丑
𨵴	門十冂丷干
𩅠	雨氵十冂丷干
𩈑	面尸又
𩈶	面木示
𩹞	魚十冂丷干
㒄	亻𱼀犬灬
㶞	氵日衣口口𠀎
䂇	矛丑
乪	乙田
儾	亻𰀉冖口口𠀎𧘇
嚢	𰀉冖八𠀎𧘇
囊	𰀉冖口口𠀎𧘇
囔	口𰀉冖口口𠀎𧘇
憹	忄曲辰
搑	扌艹耳
擃	扌曲辰
攮	扌𰀉冖口口𠀎𧘇
曩	日衣口口𠀎
欜	木𰀉冖口口𠀎𧘇
瀼	氵衣口口𠀎
灢	氵𰀉冖口口𠀎𧘇
蠰	虫衣口口𠀎
饟	飠衣口口𠀎
饢	飠𰀉冖口口𠀎𧘇
馕	饣𰀉冖口口𠀎𧘇
齉	自田丌𰀉冖口口𠀎𧘇
𠶬	口口{王}
𡿝	山𰀉冖口口𠀎𧘇
𢖧	彳𰀉冖口口𠀎𧘇
𣰶	衣口口𠀎毛
𦈃	糹𰀉冖口口𠀎𧘇
𦗳	耳曲辰
𦣘	⺼𰀉冖口口𠀎𧘇
𧅺	艹𰀉冖口口𠀎𧘇
𧖒	虫𰀉冖口口𠀎𧘇
𧟘	衤𰀉冖口口𠀎𧘇
𨳆	E𠫔𰀉冖口口𠀎𧘇
𩜒	乃𦍌𠆢丶艮
㑎	亻巛山
㛴	女巛丿囗㐅
㞪	彐山
㺀	犭勿心
㺁	犭巛丿囗㐅
䃩	石曲辰
䄩	禾弋
䑋	⺼衣口口𠀎
䛝	訁丑山
䜀	訁刃刃止
䜧	讠刃刃止
䫸	風刀
䴃	土土土兀鳥
匘	匕巛丿囗㐅
呶	口女又
垴	土亠凶
堖	土巛丿囗㐅
夒	頁止巳夂
嫐	女田力女
孬	不女子
峱	犭丑山
嶩	山曲辰
巎	山頁止巳夂
怓	忄女又
恼	忄亠凶
悩	忄𭕄凶
惱	忄巛丿囗㐅
挠	扌𫠠丿兀
撓	扌土土土兀
桡	木𫠠丿兀
橈	木土土土兀
猱	犭矛木
獶	犭百冖心夂
獿	犭頁止巳夂
瑙	𤣩巛丿囗㐅
硇	石丿囗㐅
碯	石巛丿囗㐅
脑	⺼亠凶
脳	⺼𭕄凶
腦	⺼巛丿囗㐅
臑	⺼雨而
蛲	虫𫠠丿兀
蟯	虫土土土兀
詉	訁女又
譊	訁土土土兀
鐃	金土土土兀
铙	钅𫠠丿兀
閙	門亠巾
闹	门亠巾
鬧	鬥亠巾
𠊦	亻巛正
𠡷	力力力木
𡍍	土止止
𡽧	山厂土土土兀
𡾂	山百冖止⺊又
𡿺	巛丿囗㐅
𢅈	亠巾亠巾亠巾
𢉵	广山山山
𢙐	忄冖𧘇
𢜸	忄矛木
𢪼	扌丿冂又
𣧽	歹巛山
𣭺	户{𧘇-丿}毛
𣳦	氵丿囗㐅
𤊲	火巛丿囗㐅
𤋫	火山山山
𤞍	犭凵肀
𤫕	𤣩頁止巳夂
𤷻	疒巛丿囗㐅
𥀮	月巛丿囗丿丿丶皮
𥆲	目勿山
𥑪	石勹凶
𦗮	耳止止止
𧩣	訁巛丿囗㐅
𧳦	豸巛丿囗㐅
𧴓	豸而而
𧴙	豸刃刃止止
𨥸	金勹凶
𨱵	E𠫔兆
𩋈	革巛丿囗㐅
𩖯	風内
𩛋	飠巛山
𩤘	馬巛丿囗㐅
𩩀	冎⺼巛山
𩫔	亠口冂口千止
𩫺	E𠫔彡山
𩬷	E𠫔彡巛山
𩯆	E𠫔彡土土土兀
㕯	内口
䎪	耒日一寸
䭆	臣卜𠆢丶艮
呢	口尸匕
疒	广冫
眲	目耳
訥	訁内
讷	讠内
𢗉	忄內
𣧍	歹內
㐻	亻内
㖏	口日土
㘨	土内
㨅	扌艹内
㼏	爫女瓜
䡾	車虍鬲犬
䲎	魚{⿱𠃍耳}攵
䳖	鳥耳乚
內	冂入
娞	女爫女
氝	气内
氞	气一内
浽	氵爫女
脮	⺼爫女
腇	⺼禾女
錗	金禾女
餒	飠爫女
馁	饣爫女
鮾	魚爫女
鯘	魚禾女
𠑚	亻頁止巳八𧘇
𠑛	亻⻀句冖止攵
𡣢	重禾女
𢁩	巾內
𢅼	巾頁止巳夂
𢛉	忄千艹士
𣓃	木艹内
𥡭	千艹士禾女
𨡌	酉禾女
𩗔	爫女風
𩬀	E𠫔彡內
㜛	女車欠
㯎	木亠二口木
㶧	火内
媆	女而大
嫩	女束攵
嫰	女束欠
恁	亻壬心
𡞾	女而女
𧮠	訁广木木禾日
𨈗	口身
㲌	毛乃
㴰	氵厶⺝匕匕
䏻	厶⺝去
𠹌	口厶⺝匕匕
𢆂	巾立月𠆢一月刂刂
𨃳	𧾷厶⺝匕匕
𨶙	門厶⺝匕匕
㞾	山尸匕
㠜	山匕矢龴疋
㣇	彑丿丿巾
㥾	忄匚艹𠂇口
㦐	忄弋二貝
㪒	臼儿⺊又
㲻	亻水
㵫	氵子子子日
㹸	犭白儿
䁥	目匚艹𠂇口
䕥	艹𠆢巾乂乂乂乂八
䘌	匚艹𠂇口虫虫
䘦	衤尸匕
䘽	衤臼儿
䛏	訁尸匕
䝚	豸尸匕
䦵	門{一}巾乂乂乂乂八
䧇	⻖衣
䭲	禾日大可
䰯	鬼匕矢龴疋
䵑	禾人氺刃
䵒	禾人氺日
伱	亻𠆢小
伲	亻尸匕
你	亻⺈小
倪	亻臼儿
儗	亻匕矢龴疋
儞	亻{一}巾乂乂乂乂八
匿	匚艹𠂇口
坭	土尸匕
埿	氵尸匕土
堄	土臼儿
妮	女尸匕
婗	女臼儿
嫟	女匚艹𠂇口
嬺	女匚艹𠂇口心
孴	子子子日
尼	尸匕
屔	丘尸匕
怩	忄尸匕
惄	上小又心
愵	忄𢎥𢎥
抳	扌尸匕
拟	扌𠄌丶人
掜	扌臼儿
擬	扌匕矢龴疋
旎	方𠂉尸匕
昵	日尸匕
晲	日臼儿
暱	日匚艹𠂇口
棿	木臼儿
氼	水𠆢
泥	氵尸匕
淣	氵臼儿
溺	氵𢎥𢎥
狔	犭尸匕
猊	犭臼儿
疑	匕矢龴疋
眤	目尸匕
睨	目臼儿
秜	禾尸匕
籾	米刃
縌	糹辶屰
聣	耳臼儿
胒	⺼尸匕
腻	⺼弋二贝
膩	⺼弋二貝
苨	艹尸匕
薿	艹匕矢龴疋
蚭	虫尸匕
蛪	丰刀虫
蜺	虫臼儿
觬	⺈用臼儿
貎	豸臼儿
跜	𧾷尸匕
輗	車臼儿
逆	辶屰
郳	臼儿⻏
鈮	金尸匕
铌	钅尸匕
隬	⻖{一}巾乂乂乂乂八
霓	雨臼儿
馜	禾日尸匕
鯢	魚臼儿
鲵	鱼臼儿
麑	鹿臼儿
齯	止凵人人一人人臼儿
𠆵	亻八丂
𠒰	臼儿田力
𠱘	口屰
𠸺	口辶屰
𠽬	口弋二貝
𡎳	𢎥𢎥土
𡎿	立尸匕土
𡞭	女臼巾
𡣁	女子子子日
𡫸	宀心皿丁士口
𡬗	宀心皿丁士冖一口䒑
𢅟	巾匕矢龴疋
𢚮	忄𠂉𠂇三
𢛜	氵尸匕心
𢣚	忄{一}巾乂乂乂乂八
𢦱	戈一日
𣘗	木匚艹𠂇口
𣡋	木共{一}巾乂乂乂乂八
𣢞	尸匕欠
𣭙	毛尸匕
𣲷	氵囗又
𤙌	牜尸匕
𤦤	𤣩臼儿
𥄽	弋二目
𥇄	目又目
𥜦	示{一}巾乂乂乂乂八土
𥜬	示{一}巾乂乂乂乂八王
𥷄	竹𠆢{一}巾乂乂乂乂八
𥺜	氵尸匕米
𦆦	糹匕矢龴疋
𦤽	𠫔土尸匕
𦦃	匕日臼儿
𦮾	艹扌内
𦰫	艹氵尸匕
𧃩	艹犭匕矢龴疋
𧈞	𠃊虫
𧏾	匚艹𠂇口虫
𧖷	丿皿刃心
𧵼	𠫔土貝
𧺰	土龰歹
𨀀	𧾷𠆢小
𨋗	車尸匕
𨒫	辶羊
𨺙	⻖臼儿
𨽦	⻖耳耳耳
𩈢	面刃心
𩉹	革尸匕
𩋪	革艹尸匕
𩍦	革{一}巾乂乂乂乂八
𩚯	飠尸匕
𩩢	冎⺼臼儿
𩯨	E𠫔彡{一}巾乂乂乂乂八
𩰞	鬥{一}巾乂乂乂乂八
𩱄	鬲而大
𩸦	魚氵尸匕
𩸧	氵尸匕魚
𩺝	魚辶屰
𩺱	魚匚艹𠂇口
𪐌	禾人氺匚艹𠂇口
𪙛	止凵人人一人人匚艹𠂇口
𫠜	止凵人臼儿
㜣	女𱼀犬灬
㜤	女覀日十
㞋	尸又
㲽	氵刃
䄭	禾千
䄹	禾𠆢千
䚓	覀日十見
䩞	革占
䬯	飠占
䴴	來{夊}占
卄	一〢
哖	口年
唸	口𠆢丶㇇心
埝	土𠆢丶㇇心
姩	女年
年	𠂉㐄
廿	艹一
念	𠆢丶㇇心
悥	亠二口心
惗	忄𠆢丶㇇心
拈	扌占
捻	扌𠆢丶㇇心
撚	扌𱼀犬灬
撵	扌夫夫车
攆	扌夫夫車
榐	木尸卄一{𧘇-丿}
