a	a art.一;字母A
indented	indented adj.合同的
indention	indention n.锯齿状;缩排;定货;凹痕
indenture	indenture n.契约;货单;凹痕 vt.以契约束缚
independence	independence n.独立;自立;自主
independent	independent n.中立派;无党派者 a.独立的;自主的;不须依赖的;不受约束的
independently	independently ad.独立地;自立地
indescribability	indescribability n.不可名状
indescribable	indescribable a.不能用语言表达的;不可名状的;莫名其妙的
indestructible	indestructible a.不能破坏的;不可毁灭的
indeterminable	indeterminable a.不能决定的;不能解决的
indeterminate	indeterminate a.不确的;不确定的;含混的
indetermination	indetermination n.不确定;无法断力
index	index n.索引;指针;指数;指标 vt.编入索引中;指出 vi.做索引
indexed	indexed v.编入索引;vbl.编入索引
indexing	indexing n.索引
India	India n.印度
Indian	Indian n.印第安人 a.印度的;印度群岛的
Indiana	Indiana n.印地安那州
indianise	indianise vt.使印度化
indianize	indianize vt.使印度化
indic	indic a.印度的;印度语的
indicate	indicate vt.显示;象征;指示;指出
indication	indication n.指示;象征;象征物
indicative	indicative a.指示的;象征的;表示...的
indicator	indicator n.指示器;指示剂 n.指示器
indices	indices n.index的复数
indicia	indicia n.标记;邮戳
indict	indict vt.起诉;控告;指控
indictable	indictable a.可起诉的
indictee	indictee n.被告
indicter	indicter n.原告
indictment	indictment n.起诉;控告;起诉状
indifference	indifference n.不重视;无兴趣;漠不关心
indifferent	indifferent a.漠不关心的;无重要性的;中立的
indifferently	indifferently ad.不关心地;冷淡地;淡然地
indigence	indigence n.贫乏;穷困
indigene	indigene n.土生的动植物
indigenous	indigenous a.本土的;土著的;国产的
indigent	indigent a.贫乏的;穷困的
indigestibility	indigestibility n.难消化;难理解
indigestible	indigestible a.不消化的;难消化的;难理解的
indigestion	indigestion n.消化不良
indigestive	indigestive a.消化不良的;引起不消化的
indignant	indignant a.愤怒的;愤慨的
indignantly	indignantly ad.愤怒地
indignation	indignation n.愤怒;愤慨;义愤
indignity	indignity n.侮辱
indigo	indigo n.靛青;紫蓝色 a.紫蓝色的
indirect	indirect a.间接的;次要的;欺骗的
indirection	indirection n.间接手段;迂回;不诚实
indiscernible	indiscernible a.难识别的;看不见的
indiscipline	indiscipline n.无纪律;未经训练
indiscreet	indiscreet a.无分别的;轻率的;欠慎重的
indiscrete	indiscrete a.不分开的
indiscretion	indiscretion n.欠详虑;不慎重;轻率
indiscriminate	indiscriminate a.无差别的;不分皂白的;杂陈的
indiscrimination	indiscrimination n.无差别;无分别
indispensability	indispensability n.不可缺少
indispensable	indispensable n.不可缺少之物 a.不可缺少的;不能避免的;绝对必要的
indispose	indispose vt.使厌恶;使不适当;使不能
indisposed	indisposed a.厌恶的;不适当的;不能的
indisposition	indisposition n.小毛病;厌恶
indisputable	indisputable a.无争论之余地的;明白的
indissolubility	indissolubility n.不溶解性;不分解性;永续性
indissoluble	indissoluble a.不能溶解的;不能分解的;坚固的
indistinct	indistinct a.不明了的;朦胧的
indistinctly	indistinctly ad.不明了地;朦胧地
indistinguishable	indistinguishable a.不能辨别的;不能区别的
indite	indite vt.写成文章;创作;写
indium	indium n.铟
individual	individual n.人;个人;个体 a.个别的;独特的
individualism	individualism n.个人主义
individualist	individualist n.个人主义者;利己主义者
individualistic	individualistic a.个人主义的
individuality	individuality n.个性;人格;特征
individually	individually ad.以个人身分;各个地;个别地
individuation	individuation n.赋予个性;个性化
indivisibility	indivisibility n.不可分割;不能除尽
indivisible	indivisible a.不能分割的;除不尽的
Indo-Aryan	Indo-Aryan n.印欧人 a.印欧人的
indocile	indocile a.不听话的;倔强的;不顺从的;难教的
indocility	indocility n.不顺从;难教
indoctrinate	indoctrinate vt.教训;教导;灌输
indoctrination	indoctrination n.教导;教化
indole	indole n.吲哚
indolence	indolence n.怠惰;不痛
indolent	indolent a.懒惰的;不痛的
indoleny	indoleny adj.懒散的
indomitable	indomitable a.不屈服的;不屈不挠的
Indonesia	Indonesia n.印尼
Indonesian	Indonesian a.印尼的 n.印尼人;印尼语群
indoor	indoor a.户内的;室内的
indoors	indoors ad.在户内
indraft	indraft n.吸入
indrawn	indrawn a.被卷入的;被吸进的;内向的
indubitable	indubitable a.无疑的;确实的;明白的
induce	induce vt.引诱;招致;感应
inducement	inducement n.诱因;动机;刺激物
inducer	inducer n.引诱者
inducing	inducing vbl.感应;引导
induct	induct vt.引导;使入门;引入;使就职
inductance	inductance n.感应系数;自感应
inductee	inductee n.就任者;应召入伍的士兵
induction	induction n.归纳法;感应;就职;入门
inductive	inductive a.归纳的;动人的;感应的
inductor	inductor n.授职者;圣职授与者;感应器
indulge	indulge vt.纵情于;放任;迁就 vi.沉溺
indulge in	indulge in v.沉湎于
indulgence	indulgence n.沉溺;放纵;嗜好
indulgent	indulgent a.纵容的;任性的;放纵的
indult	indult n.特别许可或恩典
indurate	indurate vt.使坚固;变坚固;使硬化 a.坚固的;无感觉的
induration	induration n.硬化;无情;顽固
indurative	indurative a.坚固的;硬化性的;顽固的
industrial	industrial a.工业的;实业的;产业的 n.工业工人;工业股票
industrialist	industrialist n.企业家
industrialization	industrialization n.工业化;产业化
industrialise	industrialise vt.使工业化 vi.工业化
industrialize	industrialize vt.使工业化 vi.工业化
industrialised	industrialised a.工业化的
industrialized	industrialized a.工业化的
industrious	industrious a.勤勉的;刻苦的
industry	industry n.工业;企业;产业;勤劳
indwell	indwell vt.存在于 vi.存在
indwelling	indwelling a.内在的
inebriate	inebriate a.酒醉的 n.酒鬼 vt.使醉;使陶醉
inebriation	inebriation n.醉;陶醉
inebriety	inebriety n.醉;陶醉
inedible	inedible a.不适于食用的;不能吃的
inedited	inedited a.未经编辑的;未出版的
ineducable	ineducable a.难于教育的;无法感化的
ineffable	ineffable a.无法形容的;说不出的;不应说出的;避讳的
ineffaceable	ineffaceable a.不能消除的;不能抹杀的;不能取消的
ineffective	ineffective a.无效的
ineffectual	ineffectual a.无效的;无益的;白费的
inefficacious	inefficacious a.无效力的;无用的
inefficacy	inefficacy n.无效力;无效
inefficiency	inefficiency n.无效率;无能
inefficient	inefficient a.无效率的;无能的
inelastic	inelastic a.无弹性的;无弹力的;无适应性的
inelasticity	inelasticity n.无弹力;坚硬性;不适应性
inelegant	inelegant n.不优美;不雅;粗野
ineligibility	ineligibility n.无被选资格;不适任
ineligible	ineligible a.无被选任资格的;不适任的;不适当的 n.无被选任资格的人;不合录用资格的人
ineloquent	ineloquent a.不雄辩的;不传达表情的
ineluctability	ineluctability n.不可避免;无法逃避
ineluctable	ineluctable a.不可避免的;无法逃避的
ineludible	ineludible a.逃脱不了的
inept	inept a.不适当的;无能的;笨拙的
ineptitude	ineptitude n.不适当;愚笨;愚昧的言行
inequality	inequality n.不平等;不同;不平均 n.不等式
inequitable	inequitable a.不公平的;不公正的
inequity	inequity n.不公平;不公正
ineradicable	ineradicable a.不能根除的;根深蒂固的
inerrancy	inerrancy n.无错误
inert	inert a.惰性的;迟钝的;无活力的;呆滞的
inertia	inertia n.惯性;惰性;迟钝
inertial	inertial a.不活泼的;惯性的
inescapable	inescapable a.逃不掉的;不可避免的
inessential	inessential a.无关紧要的 n.无关紧要的东西
inestimable	inestimable a.无价的;无法估计的
inevitability	inevitability n.无法逃避之事;不可逃避;必然性
inevitable	inevitable a.不可避免的;必然的
inevitably	inevitably ad.不可避免
inexact	inexact a.不正确的;不确实的;不精密的
inexactitude	inexactitude n.不正确;不精密
inexcitable	inexcitable a.难以激动的;冷静的
inexcusable	inexcusable a.没法辩解的;不可宽赦的
inexecutable	inexecutable a.不能执行的
inexhaustible	inexhaustible a.用不完的;无穷尽的;不知疲倦的
inexorable	inexorable a.无情的;冷酷的;不屈不挠的
inexpedient	inexpedient a.不便的;不适当的;失策的
inexpensive	inexpensive a.便宜的;不贵重的
inexperience	inexperience n.无经验;不熟练;未熟
inexperienced	inexperienced a.无经验的;不熟练的
inexpert	inexpert a.不熟练的 n.生手
inexpiable	inexpiable a.不能抵偿的;不能平息的
inexplicable	inexplicable a.不能说明的;不能解释的;费解的
inexplicably	inexplicably ad.到无法说明的程度
inexplosive	inexplosive a.不爆炸的
inexpressible	inexpressible a.不能用语言表达的;不可言传的;不可名状的
inexpressibly	inexpressibly ad.到不能用语言表达的程度
inextinguishable	inextinguishable a.不能消灭的;压不住的
inextricability	inextricability n.逃脱不掉;解不开;无法解决
inextricable	inextricable a.逃脱不掉的;解不开的;无法解决的
inf	inf 安装信息文件格式
infallible	infallible a.绝无错误的;绝对可靠的 n.一贯正确的人
infamous	infamous a.无耻的;不名誉的;声名狼藉的
infamy	infamy n.声名狼藉;出丑
infancy	infancy n.幼年;初期;幼儿期
infant	infant n.婴儿;儿童 a.婴儿的;幼稚的
infante	infante n.王子;亲王
infanticidal	infanticidal a.杀婴儿的
infanticide	infanticide n.杀婴
infantile	infantile a.婴儿的;幼稚的;初期的
infantilism	infantilism n.幼稚症
infantine	infantine a.小孩似的
infantry	infantry n.步兵;步兵团
infarct	infarct n.梗塞
infarction	infarction n.梗塞
infatuate	infatuate vt.使迷恋;使糊涂 a.着迷的 n.迷恋者
infatuation	infatuation n.迷惑;迷恋;醉心
infeasible	infeasible a.不可实行的
infect	infect vt.传染;感染
infected	infected a.被感染的
infection	infection n.传染;影响;传染病
infectious	infectious a.有传染性的;易传染的
infective	infective a.有传染性的;易传染的
infectivity	infectivity n.传染性;易传染
infecund	infecund a.不结果的;不孕的;不毛的
infelicitous	infelicitous a.不幸的;不吉的;不适当的
infelicity	infelicity n.不幸;不吉;不适当
infer	infer vt.推论出;推断 vi.作推论
inferable	inferable a.能推理的;能推论的
inference	inference n.推论
inferential	inferential a.推理的;推论的;推理上的
inferior	inferior a.次等的;较低的;下方的;下级的 n.低下的人;次品;下附文字
inferiority	inferiority n.自卑;次等
infernal	infernal a.阴间的;恶魔的
inferno	inferno n.阴间;地狱
infertile	infertile a.不肥沃的;不毛的;不结果实的
infertility	infertility n.不肥沃;不毛
infest	infest vt.骚扰;群居于;大批出没
infestation	infestation n.群袭;出没;横行
infidel	infidel a.不信神的;无信仰的;异端的 n.无信仰者;异教徒;异端
infidelity	infidelity n.不信神;无信仰;背信
infield	infield n.农宅周围的田园;耕地;内野
infielder	infielder n.内野手
infighting	infighting n.近接战;对抗意识;暗斗
infiltrate	infiltrate vt.使浸润;渗透;使潜入;使渗入 vi.渗入 n.渗入物
infiltration	infiltration n.渗入;渗透;渗透物
infinite	infinite n.无限;神 a.无穷的;无限的;极大的
infinitely	infinitely ad.无限地;无数地;庞大地
infinitesimal	infinitesimal a.极小的;极微的;无限小的 n.极小量;极微量;无限小
infinitival	infinitival a.不定词的
infinitive	infinitive n.不定词 a.不定词的
infinitude	infinitude n.无限;无穷;无量
infinity	infinity n.无限大;无限
infirm	infirm a.弱的;虚弱的;柔弱的
infirmary	infirmary n.医院;医务室
infirmity	infirmity n.虚弱;病身;疾病
infirmly	infirmly ad.弱地;虚弱地;优柔寡断地
infix	infix vt.钻进;插进;深植 n.插入词;中缀
inflame	inflame vt.激怒;点火;使发炎 vi.着火;激动;发炎
inflammability	inflammability n.可燃性;易兴奋性;易激动性
inflammable	inflammable a.易燃的;易怒的
inflammation	inflammation n.怒火;发火;燃烧;发炎
inflammatory	inflammatory a.激动的;煽动的;炎症性的
inflatable	inflatable a.膨胀的;得意的;通货膨胀
inflate	inflate vt.使膨胀;使得意;使通货膨胀;使充气 vi.充气;膨胀
inflated	inflated a.膨胀的;充了气的;夸张的;通货膨胀的
inflation	inflation n.胀大;夸张;通货膨胀
inflationary	inflationary a.通货膨胀的;通货膨胀倾向的
inflationism	inflationism n.通货膨胀政策
inflator	inflator n.充气者;充气机
inflect	inflect vt.弯曲;使屈曲;改变 vi.发生弯曲变化
inflection	inflection n.屈曲;变调;音调变化
inflectional	inflectional a.屈曲的;抑扬的;屈折的
inflexibility	inflexibility n.不屈曲性;顽固;不变性
inflexible	inflexible a.不屈曲的;不屈挠的;顽固的
inflict	inflict vt.施以;加害;科以;使承受
inflictable	inflictable a.可科的;可处的
inflictabl	inflictabl a.可科的;可处的
inflorescence	inflorescence n.开花;花;花序
inflow	inflow n.流入;流入物
influence	influence n.影响力;权力;势力 vt.影响;改变
influencing	influencing a.影响的
influent	influent a.流入的 n.支流
influential	influential a.有影响的;有势力的
influenza	influenza n.流行性感冒
influx	influx n.流入;河口;汇集
info	info n.信息
info window	info window n.信息窗口
info window is frontmost	info window is frontmost n.信息窗口在最前面
inform	inform vt.通知;使充满 vi.告发
informal	informal a.非正式的;不拘礼的;通俗的
informality	informality n.非正式
informant	informant n.通知者;密告者;被调查者
information	information n.消息;知识;报告;通知;情报;信息;起诉 n.信息
informative	informative a.情报的;使知道消息的;见闻广博的
informed	informed a.见多识广的
informer	informer n.密告者;控告者;通知者
Informix	Informix n.并行数据库厂商
infract	infract vt.犯;违反;侵害
infraction	infraction n.违反;侵害
infrahuman	infrahuman a.类人猿的 n.似人的生物
infrangible	infrangible a.不破的;不破坏的;坚固的;不可违背的
infrared	infrared a.红外线的 n.红外线
infrasonic	infrasonic n.低声纳
infrastructure	infrastructure n.下部构造;基础下部组织
infrequent	infrequent a.稀少的;珍贵的;罕见的
infringe	infringe vt.vi.破坏;侵犯;违反
infructuous	infructuous a.不结果的;徒劳的
infuriate	infuriate a.狂怒的 vt.激怒
infuriated	infuriated adj.激怒的
infuriation	infuriation n.激昂;激怒
infuse	infuse vt.注入;泡出味道;鼓舞 vi.泡;注
infuser	infuser n.注入者;鼓吹者;浸煮器
infusible	infusible a.不熔化的;不熔化性的
infusion	infusion n.注入;鼓吹;熬煮
infusorian	infusorian n.纤毛虫 a.纤毛虫的
ingather	ingather vt.vi.收获;收入;收集
ingeminate	ingeminate vt.重申
ingenious	ingenious a.灵敏的;精巧的;聪明的
ingenuity	ingenuity n.智巧;创造力;精巧的设计
ingenuous	ingenuous a.坦白的;正直的;天真的
ingest	ingest vt.摄取;咽下
ingestion	ingestion n.摄取
ingle	ingle n.炉火;火炉
inglorious	inglorious a.不名誉的;不体面的;可耻的;不出名的
ingoing	ingoing a.进入的;新进的 n.进入;迁入;就任
ingot	ingot n.锭;铸块
ingrain	ingrain vt.生染;就原料染色;使根深蒂固 a.生染的;生来的;根深的 n.生染的纤维;原料染色;本质
ingrained	ingrained a.根深蒂固的;彻底的;生染的
ingrate	ingrate n.不知恩情;忘恩者 a.不知恩的;忘恩的
ingratiate	ingratiate vt.使迎合;使讨好
ingratiating	ingratiating a.逢迎的;迷人的
ingratitude	ingratitude n.忘恩;不知恩
ingredient	ingredient n.成分;因素
ingress	ingress n.进入;入口;准许进入
ingroup	ingroup n.内集团
ingrowing	ingrowing a.向内生长;生进肉内的
ingrown	ingrown a.向内生长的;生进肉内的;天赋的
ingrowth	ingrowth n.向内成长;长在肉内;向内成长物
inguinal	inguinal a.腹股沟的
inhabit	inhabit vt.居住于;占据;栖息
inhabitant	inhabitant n.居民;居住者
inhabited	inhabited a.有人居住的
inhalant	inhalant n.吸入剂;吸入器 a.吸入用的
inhalation	inhalation n.吸入
inhalator	inhalator n.吸入器;人工呼吸补助器
inhale	inhale vt.吸入 vi.吸气
inhaler	inhaler n.吸入者;吸入器;空气过滤器
inharmonic	inharmonic a.不调和的;不和谐的
inharmonious	inharmonious a.不合谐的;不和睦的
inhere	inhere vi.固有;原有;原来属有
inherence	inherence n.固有
inherent	inherent a.固有的;与生俱来的
inherit	inherit vt.继承;遗传 vi.接受遗产
inheritance	inheritance n.遗传;遗产
inheritress	inheritress n.女继承人
inhesion	inhesion n.内在性
inhibit	inhibit vt.禁止;抑制 vi.有禁止力
inhibition	inhibition n.禁止;禁制;压抑
inhibitor	inhibitor n.止氧剂
inhibitory	inhibitory a.禁止的;抑制的
inhospitable	inhospitable a.冷淡的;不和气的;不亲切的
inhospitality	inhospitality n.冷漠;冷淡;不和气
inhuman	inhuman a.残忍的;无人性的;非人类的
inhumane	inhumane a.无人情味的;薄情的;残忍的
inhumanity	inhumanity n.不人道;残暴
inhume	inhume vt.埋葬;土葬
ini	ini n.(计算机中的)信息文件
inimical	inimical a.有敌意的;不友善的;抵触的
inimitable	inimitable a.无法仿效的;独特的;无比的
iniquitous	iniquitous a.不正的;不法的;邪恶的
iniquity	iniquity n.不正;不法;不正当行为
initial	initial n.字首;首字母 a.开始的;最初的;字首的 vt.签姓名的首字母
initialization	initialization n.设定初值
initialise	initialise v.初始化
initialize	initialize v.初始化
initialised	initialised 计算机]已初始化的
initialized	initialized 计算机]已初始化的
initially	initially ad.最初;开头
initials	initials n.缩写
initiate	initiate n.入会;开始 a.新加入的 vt.开始;传授
initiating	initiating vbl.开始
initiation	initiation n.开始;起蒙;入会
initiative	initiative n.初步行动;主动 a.自发的;起始的
initiator	initiator n.创始者;首倡者;发起人
initiatory	initiatory a.着手的;最初的;初步的
inject	inject vt.注射;注入;注满
injection	injection n.注射;注射剂
injector	injector n.注射者;注射器;喷射给水器
injudicious	injudicious a.欠思考的;不聪明的;浅薄的
injunction	injunction n.命令;指令;劝告
injure	injure vt.伤害;损害;使受冤屈
injurious	injurious a.有害的
injury	injury n.伤害;侮辱
injustice	injustice n.不公平;不讲道义
ink	ink n.墨水 vt.涂墨水于;签字;加墨水
inkblot	inkblot n.墨水斑点
inker	inker n.油墨轮;墨棒;电信用打字机
inkhorn	inkhorn n.墨水壶
inkiness	inkiness n.漆黑;涂有墨水;墨水污染
inkling	inkling n.暗示;微微觉得
inkpot	inkpot n.墨水壶
inkstand	inkstand n.墨水瓶
inkwell	inkwell n.墨水池
inky	inky a.墨水的;给墨水弄污的;漆黑的
inlaid	inlaid a.嵌入的;镶嵌的;镶饰的
inland	inland a.内陆的;国内的 n.内地
inlander	inlander n.内地人
inlay	inlay vt.嵌入;镶嵌;插入 n.镶嵌物;镶嵌细工;镶补
inlet	inlet n.插入物
inlier	inlier n.内座层
inly	inly ad.在内;在心中;衷心地
inmate	inmate n.同住者;居民
inmost	inmost a.心底的;秘密的
inn	inn n.旅馆;客栈 vi.住旅馆
innards	innards n.内脏
innate	innate a.先天的;天生的
inner	inner a.内部的;内心的 n.内部
innermost	innermost a.内心的;秘密的;最深处的
innervate	innervate vt.使受神经支配;刺激活动
innervation	innervation n.神经分布;神经支配
inning	inning n.一局;发展的机会;好时机;围垦
innocent	innocent adj.无辜
innoccent	innoccent adj.无辜
innocence	innocence n.无罪;无知;天真无邪
innocuous	innocuous a.无害的;无毒的
innominate	innominate a.无名的;匿名的
innovate	innovate vi.改革;创新
innovation	innovation n.改革;创新
innovative	innovative adj.创新的
innovator	innovator n.改革者;刷新者
innoxious	innoxious a.无害的;无毒的
innuendo	innuendo n.讽刺;讥讽 vi.说讽刺话 vt.用讽刺表达
innumerable	innumerable a.无数的;数不清的
inobservant	inobservant a.不注意的;疏忽的;不遵守的
inoculate	inoculate vt.接种;嫁接
inoculation	inoculation n.接插芽;接木;接种
inoculum	inoculum n.接种体
inoffensive	inoffensive a.无害的;没恶意的;不讨厌的
inofficious	inofficious a.无职务的;无用的;不尽道德上义务的
inoperable	inoperable a.不能动手术的
inoperative	inoperative a.不活动的;无效力的;不发生效力的
inopportune	inopportune a.失去时机的;不合时机的;不适当的;不巧的
inordinate	inordinate a.过度的;紊乱的;无法无天的;过分的
inorganic	inorganic a.无机的;无生物的;非自然形成的
inornate	inornate a.不加修饰的
inositol	inositol n.纤维醇;纤维糖;肌糖
inpatient	inpatient n.住院病人
inphase	inphase a.同相的
inpour	inpour vi.流进;流入
input	input n.输入;输入电路 vt.输入 v.输入
input/output	input/output n.输入/输出
inquest	inquest n.审讯;讯问;验尸
inquietude	inquietude n.不安;不宁;不安定
inquire	inquire vi.vt.询问;问明;查究
inquirer	inquirer n.询问者;探究者;调查者
inquiring	inquiring a.询问的;打听的;爱追根究底的
inquiry	inquiry n.质询;调查
inquisition	inquisition n.调查;探究;审理;宗教裁判所
inquisitional	inquisitional a.调查的;宗教裁判所的
inquisitive	inquisitive a.想问的;想知道的;好追根究底的
inquisitor	inquisitor n.询问者;审问者;检察官
inquisitorial	inquisitorial a.询问者的;严格审问的;好询问的
inroad	inroad n.侵入;侵略;侵害;袭击
inrush	inrush n.侵入;闯入;流入
ins	ins v.插入(INSERT的简写)
insalivation	insalivation n.混涎作用
insalubrious	insalubrious a.对身体有害的;不健康的;不卫生的
insalubrity	insalubrity n.有碍健康;不健康
insane	insane a.患精神病的;极愚蠢的
insanitary	insanitary a.不卫生的;有碍健康的
insanity	insanity n.疯狂;愚顽;精神错乱
insatiability	insatiability n.不知足;贪求无厌
insatiable	insatiable a.不知足的;贪求无厌的
inscape	inscape n.内在的特性
inscribe	inscribe vt.登记;铭记于;题写;雕刻
inscribed	inscribed adj.记名的
inscription	inscription n.题字;碑铭
inscroll	inscroll vt.载入卷册
inscrutability	inscrutability n.不可预测;不可解;不可思议
inscrutable	inscrutable a.难以了解的;不能预测的
inseam	inseam n.内接缝
insect	insect n.昆虫;卑鄙的人
insect-eating	insect-eating adj.吃坤虫的
insecticide	insecticide n.杀虫剂
insectifuge	insectifuge n.驱虫剂
insectivorous	insectivorous a.食虫的;食虫动植物
insecure	insecure a.不安全的;不牢靠的;不坚固的;不稳定的
insecurity	insecurity n.不安全;不安全感
inseminate	inseminate vt.播种;栽植;使受胎
insemination	insemination n.播种;受胎;授精
insensate	insensate a.无感觉的;迟钝的;无生命的;无情的
insensibility	insensibility n.无感觉;不在乎;不关心
insensible	insensible a.不知的;昏迷的;无知觉的;冷淡的
insensibly	insensibly ad.不知不觉地;极微地;徐徐地
insensitive	insensitive a.对...没有感觉的;感觉迟钝的
insentient	insentient a.无知觉的;无生命的;无情的
inseparability	inseparability n.不可分离性
inseparable	inseparable a.不能分的
inseparably	inseparably ad.不能分离地;不可分地
insert	insert n.插入物 vt.插入;镶补 vi.附着 n.插入
insert mode	insert mode v.插入模式
insertion	insertion n.插入;刊载;插入物
insessorial	insessorial a.习惯于栖止的;适合于栖止的
inset	inset vt.嵌入 n.插入物;插页;插图
inshoot	inshoot n.内飞球
inshore	inshore a.近海岸的;向陆的 ad.近海岸;向陆
inside	inside n.内部;内脏;内幕 a.内部的;秘密的;户内的 ad.在里面 prep.在...之内
insider	insider n.内部的人;会员;知道内情的人
insidious	insidious a.隐伏的;阴险的;狡猾的
insight	insight n.洞察力;见识
insignia	insignia n.勋章;徽章
insignificance	insignificance n.无关重要;低微;无意义;无价值
insignificant	insignificant a.无关重要的;无意义的;琐碎的
insincere	insincere a.不诚实的;无诚意的;伪善的
insincerity	insincerity n.不诚实;无诚意;伪善
insinuate	insinuate vt.巴结;暗示;使潜入
insinuating	insinuating a.曲意巴结的;暗示的
insinuation	insinuation n.暗示;暗讽
insinuative	insinuative a.巧妙巴结的;讽刺的;暗示的
insipid	insipid a.没有味道的;清淡的;难吃的
insipidity	insipidity n.无味;清淡;无精神
insipience	insipience n.愚蠢
insist	insist vi.vt.坚持;强调
insistence	insistence n.坚持
insistent	insistent a.坚持的;迫切的;显著的
insobriety	insobriety n.不节制;暴饮;酗酒
insofar	insofar ad.在...的范围
insolation	insolation n.日晒;晒干;中暑
insole	insole n.鞋内底;鞋垫
insolence	insolence n.傲慢;无礼;傲慢的态度
insolent	insolent n.侮慢无乱的人 a.粗野的;无礼的;侮慢的
insolubility	insolubility n.不溶解性;不能解决;不可解
insoluble	insoluble a.不能溶解的;不能解决的
insolvable	insolvable a.不能溶解的;不能解决的
insolvency	insolvency n.无力偿还;破产
insolvent	insolvent a.无力偿还的;破产的 n.无力还偿者;破产者
insomnia	insomnia n.不眠症
insomniac	insomniac n.不眠症患者
insomuch	insomuch ad.由于;就此程度而言
inspan	inspan vt.套轭于;套牛马于车; vi.把牛套系于车
inspect	inspect vt.检查;调查;监查 vi.检查
inspection	inspection n.检验;检查;视查
inspector	inspector n.检查员;巡视员
inspectorship	inspectorship n.检查员的职务和地位
inspectoscope	inspectoscope n.检查器
inspiration	inspiration n.灵感;鼓励者;吸气
inspirational	inspirational a.带有灵感的;给予灵感的;灵感的
inspiratory	inspiratory a.吸气的;吸入的
inspire	inspire vt.使感动;激发;启示;吸入;鼓舞;产生;使生灵感 vi.吸入;赋予灵感
inspired	inspired a.得到灵感的;有灵感的;受到指使而写的
inspirer	inspirer n.inspiring
inspirit	inspirit vt.激励;精神;赋予元气;使振奋
inspissation	inspissation n.浓缩
instability	instability n.不安定;不稳定;基础薄弱
install	install vt.安装;安置;使就职 n.DOS命令:装入结束且驻留软件
installation	installation n.安装;装置;就职
installer	installer n.安装者
instalment plan	instalment plan n.分期付款方式
installment plan	installment plan n.分期付款方式
instalment	instalment n.就职;装设;分期付款
instance	instance n.例证;建议;情况;例子;场合 vt.引以为例;获得例证
instant	instant n.立即;瞬间 a.立即的;即时的
instantaneous	instantaneous a.即时的;瞬间的;同时发生的
instanter	instanter ad.即刻;马上
instantly	instantly ad.立即地;即刻地
instate	instate vt.任命
instauration	instauration n.恢复;复兴;复旧
instead	instead ad.改为;抵作;更换;替代
instep	instep n.脚背;背部;脚背形的东西
instigate	instigate vt.教唆;怂恿;煽动
instigation	instigation n.鼓动;煽动;教唆
instigator	instigator n.煽动者
instill	instill vt.慢慢地灌输
instillation	instillation n.慢慢灌输;滴;滴下
instinct	instinct n.本能;直觉 a.充满的
instinctive	instinctive a.本能的;天生的;直觉的
institute	institute n.学会;学院;协会 vt.创立;开始;制定;任命
instituted	instituted pp.设立
institution	institution n.机构;惯例;创立
institutional	institutional a.制度的;公共团体的;学会的
institutions	institutions n.体系
instock	instock adj.库存内的
instruct	instruct vt.教;教育;命令;指导
instruction	instruction n.指令;教导;命令 n.指令
instructional	instructional a.指导的;教育的
instructions	instructions n.指示
instructive	instructive a.有益的;教育性的
instructor	instructor n.教师;讲师;指导书
instrument	instrument n.工具;手段;仪器
instrumental	instrumental a.仪器的;器具的;可做为手段的
instrumentality	instrumentality n.帮助;媒介;手段
instrumentation	instrumentation n.使用仪器;乐器编成;乐器用编曲
insubordinate	insubordinate a.不顺从的;不听话的
insubordination	insubordination n.不顺从;反抗
insubstantial	insubstantial a.脆弱的;无实体的;非实质的
insufferable	insufferable a.不可忍受的;忍耐不住的;气人的
insufficiency	insufficiency n.不充分;不足;不适当
insufficient	insufficient a.不够的;不能胜任的;不充足的
insufflate	insufflate vt.吹入;吹进
insular	insular a.岛的;岛民的;岛特有的;孤立的;保守的
insularity	insularity n.岛国;孤立;岛国性质
insulate	insulate vt.使绝缘;隔离
insulated	insulated v.使...绝缘;vbl.绝缘
insulation	insulation n.隔离;孤立;绝缘
insulator	insulator n.绝缘体;绝热器
insulin	insulin n.胰岛素
insult	insult n.侮辱;无礼 vt.傲慢无礼;侮辱;刺激
insulting	insulting a.侮辱的
insuperability	insuperability n.不能制胜;不能克服
insuperable	insuperable a.不能制胜的;不能克服的
insupportable	insupportable a.忍耐不住的;不能忍受的
insuppressible	insuppressible a.难制服的;抑制不住的
insurable	insurable a.可保险的
insurance	insurance n.保险;保险业;保险费
insurant	insurant n.保险契约者;被保险人
insure	insure vt.保险;确保; vi.投保险
insured	insured n.要保人
insurer	insurer n.保险公司
insurgence	insurgence n.谋叛;发生暴动
insurgency	insurgency n.谋叛;发生暴动
insurgent	insurgent a.谋叛的;发生暴动的;澎湃的 n.暴徒;叛徒
insurmountable	insurmountable a.不能克服的;不能超越的
insurrection	insurrection n.叛乱;暴动;作乱
insusceptibility	insusceptibility n.无感觉;无感受性
insusceptible	insusceptible a.无感觉的;无感动的;不受影响的
int	int n.取整;执行中断例行子程序
intact	intact a.尚未被人碰过的;原封不动的;完整的
intagliated	intagliated a.凹雕的
intaglio	intaglio n.凹雕;凹雕玉石 vt.凹雕
intake	intake n.引入口;入口;通风口
intangibility	intangibility n.不可触知性;不能把握;不可解
intangible	intangible a.难以明了的;无形的
